Index,Name,Rollup,Project Tast
1,Requirement and Analysis,1,Analyze & Understand The Requirement (Analyze%20&%20Understand%20The%20Requirement%20218c89a3b3b880b7b371e43d34f85e75.md)
2,Design and Data Architecture,1," Design the Layers (Design%20the%20Layers%20218c89a3b3b880ed9a3bc02aef968a18.md), Choose data management Approach (Choose%20data%20management%20Approach%20218c89a3b3b880ffa49ef8ecf0fb09d5.md), Draw the Data Architecture (Draw.io) (Draw%20the%20Data%20Architecture%20(Draw%20io)%20218c89a3b3b8806eb70cc24eede5d05f.md)"
3,Project Initialization,1,"Create Git Repo & Prepare the Structure (Create%20Git%20Repo%20&%20Prepare%20the%20Structure%20218c89a3b3b8802a860ec78768e6d439.md), Create DB & Schemas (Create%20DB%20&%20Schemas%20218c89a3b3b880e1b889e1622f1e6b0b.md), Create Detail Project Tasks (Notion) (Create%20Detail%20Project%20Tasks%20(Notion)%20218c89a3b3b880d5983ac6fe99a99aca.md), Define Project Naming Conventions (Define%20Project%20Naming%20Conventions%20218c89a3b3b8809e9c03d32366451d91.md)"
4,"Build Bronze Layer ",1,"Analyzing:  Source System (Analyzing%20Source%20System%20218c89a3b3b8805c86ace938e91dbf30.md), Coding: Data Ingestion  (Coding%20Data%20Ingestion%20218c89a3b3b88001b507dce1c8894d86.md), Validating: Data Completeness (Validating%20Data%20Completeness%20218c89a3b3b880a18e61ea0f3a4e09f7.md), Document: Data Draw Flow (Draw.io) (Document%20Data%20Draw%20Flow%20(Draw%20io)%20218c89a3b3b8804ca9f2e9161c39a720.md), Commit Code In Git Repo (Commit%20Code%20In%20Git%20Repo%20218c89a3b3b880da9d16d0f374d15e4e.md)"
5,Build Silver Layer,1,"Analyzing: Explore & Understand Data (Analyzing%20Explore%20&%20Understand%20Data%20218c89a3b3b88004aee4fe94289d1a00.md), Documentation: Draw Data Integration (Data.io) (Documentation%20Draw%20Data%20Integration%20(Data%20io)%20218c89a3b3b88007bb53d925ee0bccb9.md), Coding: Data cleansing (Coding%20Data%20cleansing%20218c89a3b3b880e4a061e0daf3539af0.md), Validating: Data Correctness Checks (Validating%20Data%20Correctness%20Checks%20218c89a3b3b88084963ad9f5af27ddb9.md), Documentation: Extended Data flow (draw.io) (Documentation%20Extended%20Data%20flow%20(draw%20io)%20218c89a3b3b880979243e29cdd04af8b.md), Commit the code in Git Repo (Commit%20the%20code%20in%20Git%20Repo%20218c89a3b3b880b791d6e33d3640adf7.md)"
6,Build Gold Layer,1,"Analyzing: Explore Business Objects (Analyzing%20Explore%20Business%20Objects%20218c89a3b3b880b7bb9af5c3aad90f47.md), Coding: Data Integration (Coding%20Data%20Integration%20218c89a3b3b880e99274e96c8f92bf37.md), Validating: data Integration Checks (Validating%20data%20Integration%20Checks%20218c89a3b3b880569cc8d2d806cb302c.md), Documentation: Draw Data Model OF Star Schema (Draw.io) (Documentation%20Draw%20Data%20Model%20OF%20Star%20Schema%20(Draw%20218c89a3b3b880f49594e143b2925c50.md), Document: Create Data Catalog (Document%20Create%20Data%20Catalog%20218c89a3b3b880409391e8211650a402.md), Document: Extend Data Flow (Draw.io) (Document%20Extend%20Data%20Flow%20(Draw%20io)%20218c89a3b3b880d28b6ef0dded8b07fa.md), Commit Code in Git Repo (Commit%20Code%20in%20Git%20Repo%20218c89a3b3b880f8afbdcf83d9ac8ebb.md)"
